id,category,model,target,latency_seconds,wer,cer,english_token_f1,entity_preservation,entities_missing,reference,output
Q01,failed_transfer_opay,whisper_transcribe,yoruba,1.864,1.0,0.36538461538461536,,0.0,opay,"Ẹ jọ̀ọ́, gbígbé owó mi kùnà lórí OPay. Owó mi sì ti sọnù.","Eji bibi awa me kunolori opi, awa me sitisoni."
Q01,failed_transfer_opay,whisper_translate,english,0.808,,,0.09090909090909091,0.0,opay,Please my transfer failed on OPay and my money has been debited.,The people of Eji Gbibu are very kind and they are citizens.
Q02,failed_transfer_palmpay,whisper_transcribe,yoruba,1.098,0.625,0.2647058823529412,,0.0,access bank; palmpay,"Mo gbé owó láti PalmPay sí Access Bank, ṣùgbọ́n ó kùnà. Owó mi sì ti lọ.",Mwbe owo lati pampe si Asset Bank shugwa okuno owo mi sitilo.
Q02,failed_transfer_palmpay,whisper_translate,english,0.722,,,0.25,0.0,access bank; palmpay,I transferred money from PalmPay to Access Bank but it failed and my money was debited.,The bank will be able to pay the money to the assets bank.
Q03,failed_transfer_moniepoint,whisper_transcribe,yoruba,1.029,0.6363636363636364,0.14545454545454545,,0.0,moniepoint,"Owó mi ti sọnù lórí Moniepoint, lẹ́yìn gbígbé owó tó kùnà.",Awo mi ti sonu lori Money Point. Leni gbibe owo tokuna.
Q03,failed_transfer_moniepoint,whisper_translate,english,0.762,,,0.08333333333333333,0.0,moniepoint,My money is lost on Moniepoint after a failed transfer.,The first thing I did was to go to Money Point and buy some clothes.
Q04,account_restricted_kyc,whisper_transcribe,yoruba,0.971,0.4166666666666667,0.12,,0.5,palmpay,PalmPay mi ti dínà nítorí KYC. Mi ò lè gbé owó jáde.,"Pampe, mi ti dina ni tori KYC mi o legbi owo jade."
Q04,account_restricted_kyc,whisper_translate,english,0.822,,,0.3157894736842105,0.5,palmpay,"My PalmPay is restricted because of KYC, I cannot withdraw money.","I am a member of KYC, I am a member of the OJAD."
Q05,erroneous_transfer,whisper_transcribe,yoruba,0.879,1.0,0.4090909090909091,,0.0,opay,Mo ṣì owó firánṣẹ́ sí akọó̀lẹ́ mìíràn lórí OPay.,"Mo siyo wo franchesi a kowale miro lo liyo, pe!"
Q05,erroneous_transfer,whisper_translate,english,0.472,,,0.23529411764705882,0.0,opay,I mistakenly sent money to another account on OPay.,I am not going to let you go.
Q06,session_id_query,whisper_transcribe,yoruba,0.795,0.7692307692307693,0.20754716981132076,,0.0,session id,"Níbo ni mo ti lè rí Session ID, fún gbígbé owó tó kùnà?",Ni boni moti le recession ID fungbi be o woto kuno.
Q06,session_id_query,whisper_translate,english,0.528,,,0.19999999999999998,0.0,session id,Where can I find the Session ID for my failed transfer?,The recession has been a big problem for us.
Q07,kyc_upgrade,whisper_transcribe,yoruba,1.079,0.8235294117647058,0.2857142857142857,,0.25,kyc; nin; opay,"Báwo ni mo ṣe lè sọ BVN àti NIN mi pọ̀ mọ́ OPay, láti gbé owó sókè?",Ba woni mwoshele so BVN atini mi pwoma ope la tikbe o wosoke.
Q07,kyc_upgrade,whisper_translate,english,0.687,,,0.0,0.0,bvn; kyc; nin; opay,How do I link my BVN and NIN to OPay to increase my limit?,The number of people who have been vaccinated has increased by 2.5 million.
Q08,security_freeze,whisper_transcribe,yoruba,0.824,0.6363636363636364,0.18,,1.0,,"Account mi ti dínà, nítorí wọ́n rí ìwà ìfura lórí rẹ̀.","Akant mi ti dina, ni tori wan riwa i fura lori re."
Q08,security_freeze,whisper_translate,english,0.765,,,0.0,1.0,,My account has been blocked because they saw suspicious activity on it.,I can't meet you tonight. I'm going to the office.
Q09,double_debit,whisper_transcribe,yoruba,0.737,1.0,0.375,,1.0,,"Wọ́n nà mí ní owó lẹ́mẹjì, fún ríra ẹyọ kan.",Ono mini u ulemeji fungira e yoko.
Q09,double_debit,whisper_translate,english,0.497,,,0.125,1.0,,I was debited twice for a single purchase.,I am not going to let you go.
Q10,delayed_reversal,whisper_transcribe,yoruba,0.992,1.0,0.3333333333333333,,0.0,48,"Ó ti tó wákàtí méjì-lé-lọ́gọ́jọ, tí mo ti ń dúró de reversal mi.","Otitowaka timiji li logodjo, timotinduro derivasa omi."
Q10,delayed_reversal,whisper_translate,english,0.69,,,0.0,0.0,48,It has been 48 hours that I have been waiting for my reversal.,"and the people of the land, and the rivers of the land."
Q11,transaction_history,whisper_transcribe,yoruba,0.904,0.8,0.25,,1.0,,"Mo fẹ́ rí transaction history mi, láti oṣù tó kọjá.","Moferi Transaction e-Streaming, Lati Oshuto Kodja."
Q11,transaction_history,whisper_translate,english,0.778,,,0.11764705882352941,1.0,,I want to see my transaction history from last month.,Moferi Transaction is streaming. Latio Shutu Kodja.
Q12,app_issue,whisper_transcribe,yoruba,0.81,0.8333333333333334,0.3333333333333333,,0.0,opay,"App OPay mi ń crash, nígbà tí mo bá fẹ́ gbé owó.","Apple Payment Crash, nikba ti muba fek biyo wo."
Q12,app_issue,whisper_translate,english,0.77,,,0.1818181818181818,0.0,opay,My OPay app crashes when I want to transfer money.,"Apple Payment Crash, I'm going to tell you how to pay it."
Q13,card_issue,whisper_transcribe,yoruba,0.954,0.8125,0.2982456140350877,,1.0,,Debit card mi ò ṣiṣẹ́ lórí ATM. Mo fẹ́ mọ ìdí tí ó fi rí bẹ́ẹ̀.,Debits card me o shishelu ri ATM. Mufem wa editio firi be.
Q13,card_issue,whisper_translate,english,1.061,,,0.2727272727272727,1.0,,"My debit card is not working on the ATM, I want to know why.","Debit card Mio, Shesheluri ATM, Mofemo, Edithio, Firibe."
Q14,unrecognized_debit,whisper_transcribe,yoruba,0.852,0.6666666666666666,0.34782608695652173,,1.0,,"Mo rí debit tí mi ò mọ̀ nípa rẹ̀, lórí account mi.","Mori debiti mi o Monique Barre, lori akantsi mi."
Q14,unrecognized_debit,whisper_translate,english,0.892,,,0.1,1.0,,I saw a debit that I do not know about on my account.,I am the one who has the money. I am the one who has the accounts.
Q15,limit_reached,whisper_transcribe,yoruba,1.22,0.6875,0.18421052631578946,,1.0,,"Wọ́n ní mo ti dé daily transfer limit mi, ṣùgbọ́n mo nílò láti gbé owó pàjáwìrì.",Mwani moti de daily transfer limit mi. Shugbon moni lo. La tikbe owo kwa jawiri.
Q15,limit_reached,whisper_translate,english,0.614,,,0.2608695652173913,1.0,,They said I reached my daily transfer limit but I need to make an emergency transfer.,The daily transfer limit is $1.5 per day.
Q16,bvn_correction,whisper_transcribe,yoruba,0.973,0.8666666666666667,0.24561403508771928,,0.0,bvn; palmpay,"Báwo ni mo ṣe lè ṣe àtúnṣe, sí BVN mi tí ó wà lórí PalmPay?",Ba o ni mo she le she atun she si bivye mitio walori pampe.
Q16,bvn_correction,whisper_translate,english,1.062,,,0.14814814814814817,0.0,bvn; palmpay,How can I correct my BVN that is on PalmPay?,"I am going to tell you about the story of my husband, Bivyemiti, who was a priest."
Q17,ussd_balance,whisper_transcribe,yoruba,0.936,0.8461538461538461,0.16666666666666666,,0.5,opay,"Koodu USSD wo ni mo lè lo, láti wo balance mi lórí OPay?","Kodo USSD woni molelo, lati wobalance milori opi."
Q17,ussd_balance,whisper_translate,english,0.806,,,0.28571428571428575,0.5,opay,What USSD code can I use to check my balance on OPay?,Go to ussd.onimolelo.com and balance your pay.
Q18,wrong_recipient_name,whisper_transcribe,yoruba,1.205,0.8823529411764706,0.234375,,1.0,,"Orúkọ tí ó hàn nígbà tí mo fẹ́ gbé owó, yàtọ̀ sí orúkọ tó yẹ kó hàn.","Oru koti o hon migbati mufek be owo, ya tosi oru koto yeko hon."
Q18,wrong_recipient_name,whisper_translate,english,1.164,,,0.08,1.0,,The name that appeared when I wanted to transfer money is different from the name that should appear.,"The people who are not in the same boat as you are, are the people who are not in the same boat as you are."
Q19,scam_complaint,whisper_transcribe,yoruba,1.37,0.85,0.29333333333333333,,0.0,opay,"Ẹ jọ̀ọ́, ẹ ràn mí lọ́wọ́! Wọn ti ṣe scam mi lórí OPay, wọ́n sì gbé gbogbo owó mi lọ.","Ejiyo, e rana milo wo, mwa ti she skam milori okwe, mwa si gbegbo gbo wo milo."
Q19,scam_complaint,whisper_translate,english,4.34,,,0.1,0.0,opay,"Please help me, I have been scammed on OPay, they took all my money.",I am the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one who is the one
Q20,agent_escalation,whisper_transcribe,yoruba,1.073,0.7857142857142857,0.2033898305084746,,1.0,,"Báwo ni mo ṣe lè bá customer care gidi sọ̀rọ̀, yàtọ̀ sí bot yìí?",Ba wu ni mwishili ba customer care gi di soro. Ya to si boti i.
Q20,agent_escalation,whisper_translate,english,0.45,,,0.4,1.0,,How can I speak to a real customer care agent instead of this bot?,I am a customer care worker.
Q01,failed_transfer_opay,natlas_transcribe,yoruba,1.387,0.38461538461538464,0.11538461538461539,,0.0,opay,"Ẹ jọ̀ọ́, gbígbé owó mi kùnà lórí OPay. Owó mi sì ti sọnù.",ẹ jí gbígbé ọwọ́ mi kùnú lórí òpín ọwọ́ mi sí ti sọ nù.
Q02,failed_transfer_palmpay,natlas_transcribe,yoruba,0.711,0.0625,0.04411764705882353,,0.5,palmpay,"Mo gbé owó láti PalmPay sí Access Bank, ṣùgbọ́n ó kùnà. Owó mi sì ti lọ.","mo gbé ọwọ́ láti pampé sí access bank, ṣùgbọ́n ó kùnà, ọwọ́ mi sì ti lọ"
Q03,failed_transfer_moniepoint,natlas_transcribe,yoruba,0.555,0.09090909090909091,0.05454545454545454,,0.0,moniepoint,"Owó mi ti sọnù lórí Moniepoint, lẹ́yìn gbígbé owó tó kùnà.",ọwọ́ mi ti sọnù lórí money-point lẹ́yìn gbígbé owó tó kùnà
Q04,account_restricted_kyc,natlas_transcribe,yoruba,0.438,0.08333333333333333,0.06,,0.5,palmpay,PalmPay mi ti dínà nítorí KYC. Mi ò lè gbé owó jáde.,pámpé mi ti dínà nítorí kyc mi ò lè gbé owó jáde
Q05,erroneous_transfer,natlas_transcribe,yoruba,0.575,0.4444444444444444,0.11363636363636363,,0.0,opay,Mo ṣì owó firánṣẹ́ sí akọó̀lẹ́ mìíràn lórí OPay.,mo ṣì ọwọ́ fí ránṣẹ́ sí àkọwálẹ̀ mìíràn lórí òpé.
Q06,session_id_query,natlas_transcribe,yoruba,0.678,0.15384615384615385,0.16981132075471697,,0.0,session id,"Níbo ni mo ti lè rí Session ID, fún gbígbé owó tó kùnà?",níbo ni mo ti le rí sẹ́sọ̀n-ń-ń-ń-dì fún gbígbé owó tó kùnà?
Q07,kyc_upgrade,natlas_transcribe,yoruba,0.647,0.11764705882352941,0.047619047619047616,,0.25,kyc; nin; opay,"Báwo ni mo ṣe lè sọ BVN àti NIN mi pọ̀ mọ́ OPay, láti gbé owó sókè?",báwo ni mo ṣe lè sọ bvn àti ní mi pọ̀ mọ́ òpè láti gbé owó sókè?
Q08,security_freeze,natlas_transcribe,yoruba,0.507,0.2727272727272727,0.08,,1.0,,"Account mi ti dínà, nítorí wọ́n rí ìwà ìfura lórí rẹ̀.",account me ti dín náà nítorí wón rí ìwà ìfúrà lórí rẹ̀
Q09,double_debit,natlas_transcribe,yoruba,0.492,0.3,0.05,,1.0,,"Wọ́n nà mí ní owó lẹ́mẹjì, fún ríra ẹyọ kan.",wọn náà mí ní owó lẹ méjì fún rírà ẹ̀yọ̀ kan
Q10,delayed_reversal,natlas_transcribe,yoruba,0.624,0.38461538461538464,0.13333333333333333,,0.0,48,"Ó ti tó wákàtí méjì-lé-lọ́gọ́jọ, tí mo ti ń dúró de reversal mi.",ó ti tó wákàtí méjì lé lọ́gọ́jọ́ tí mo ti ń dúró dẹ ríi vásà mi
Q11,transaction_history,natlas_transcribe,yoruba,0.552,0.2,0.20833333333333334,,1.0,,"Mo fẹ́ rí transaction history mi, láti oṣù tó kọjá.",mo fẹ́ rí ṣanṣẹ́nṣẹ́n ìstrì mi láti oṣù tó kọjá
Q12,app_issue,natlas_transcribe,yoruba,0.485,0.25,0.15555555555555556,,0.0,opay,"App OPay mi ń crash, nígbà tí mo bá fẹ́ gbé owó.",apó pé mi n kíràsì nígbà tí mo bá fẹ́ gbé owó.
Q13,card_issue,natlas_transcribe,yoruba,0.475,0.25,0.07017543859649122,,1.0,,Debit card mi ò ṣiṣẹ́ lórí ATM. Mo fẹ́ mọ ìdí tí ó fi rí bẹ́ẹ̀.,"debate card mi oṣiṣẹ lori atm, mo fẹ́ mọ idi ti o fi ri be"
Q14,unrecognized_debit,natlas_transcribe,yoruba,0.446,0.16666666666666666,0.043478260869565216,,1.0,,"Mo rí debit tí mi ò mọ̀ nípa rẹ̀, lórí account mi.",mo rí débìtí mi ò mọ̀ nípa rẹ̀ lórí account mi
Q15,limit_reached,natlas_transcribe,yoruba,0.733,0.3125,0.15789473684210525,,1.0,,"Wọ́n ní mo ti dé daily transfer limit mi, ṣùgbọ́n mo nílò láti gbé owó pàjáwìrì.","wọ́n ní mo ti dé day li transparantial limit mi, ṣùgbọ́n mo nílò láti gbé owó pàjáwì rí."
Q16,bvn_correction,natlas_transcribe,yoruba,0.646,0.2,0.12280701754385964,,0.0,bvn; palmpay,"Báwo ni mo ṣe lè ṣe àtúnṣe, sí BVN mi tí ó wà lórí PalmPay?",báwo ni mo ṣe lè ṣe àtúnṣe sí bíbí ẹ̀mí tí ó wà lórí pampé?
Q17,ussd_balance,natlas_transcribe,yoruba,0.451,0.23076923076923078,0.09259259259259259,,0.5,opay,"Koodu USSD wo ni mo lè lo, láti wo balance mi lórí OPay?",kòdù ussd wo ni mo lè lò láti wo balans mi lórí ope?
Q18,wrong_recipient_name,natlas_transcribe,yoruba,0.706,0.11764705882352941,0.015625,,1.0,,"Orúkọ tí ó hàn nígbà tí mo fẹ́ gbé owó, yàtọ̀ sí orúkọ tó yẹ kó hàn.","orúkọ tí ó hàn nígbà tí mo fẹ́ gbé owó, yàtọ̀ sí orúkọ tó yẹ kóhàn."
Q19,scam_complaint,natlas_transcribe,yoruba,0.82,0.3,0.09333333333333334,,0.0,opay,"Ẹ jọ̀ọ́, ẹ ràn mí lọ́wọ́! Wọn ti ṣe scam mi lórí OPay, wọ́n sì gbé gbogbo owó mi lọ.","ẹ̀jì o ẹran mi lọ́wọ́, wọ́n ti ṣe skam mi lórí òpè, wọ́n sì gbé gbogbo owó mi lọ."
Q20,agent_escalation,natlas_transcribe,yoruba,0.677,0.21428571428571427,0.11864406779661017,,1.0,,"Báwo ni mo ṣe lè bá customer care gidi sọ̀rọ̀, yàtọ̀ sí bot yìí?",báwo ni mo ṣe lè bá custom market gidi sọ̀rọ̀ yàtọ̀ sí bọ̀ọ̀tì yìí?
